"user_id","noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","numberOfShows_M2","total_Time_M2","watched_in_M2"
"cfb251",4,102.182133333333,0.25,0.75,0.5,0,0.25,0.25,0,25,0,0,0,0,0,75,0,0,0,0,100,7,258.342166666667,"1"
"cfb27c",1,0.116783333333333,1,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"cfb35f",3,14.5481333333333,1,0,0,0.333333333333333,0.666666666666667,0,0,33.3333333333333,33.3333333333333,0,33.3333333333333,0,0,0,0,0,0,0,33.3333333333333,0,0,"0"
"cfba68",4,58.3733833333333,1,0,0,0,0.75,0.25,0,0,75,0,25,0,0,0,0,0,0,0,25,0,0,"0"
"cfbc3b",2,13.5396333333333,0,1,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,8,290.85385,"1"
"cfcb2e",4,90.6319666666667,0,1,0,0,0.75,0.25,0,0,0,50,50,0,0,0,0,0,0,0,50,2,15.9987833333333,"1"
"cfea73",1,1.5,1,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,"0"
"cff189",5,89.99445,0.2,0.8,0.2,0,0.6,0.2,0,0,0,20,0,0,0,0,0,0,80,0,0,4,3.8561,"1"
"cffd3e",1,12.9826333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,"0"
"d006ab",8,160.11905,1,0,0.375,0.625,0,0,0,25,0,12.5,62.5,0,0,0,0,0,0,0,37.5,3,29.3727333333333,"1"
"d00ab0",4,151.829183333333,1,0,0.25,0.75,0,0,50,25,25,0,0,0,0,0,0,0,0,0,50,0,0,"0"
"d00b9d",2,29.4914166666667,0.5,0.5,0,0.5,0.5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,50,659.705566666667,"1"
"d00fa1",1,0.500383333333333,1,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"d017b9",4,28.4281666666667,1,0,0,0,0.25,0.75,0,100,0,0,0,0,0,0,0,0,0,0,25,0,0,"0"
"d025a8",1,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,"0"
"d025f0",1,0.506766666666667,1,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"0"
