"noShows","total_Time","weekday","weekend","Afternoon","Day","Evening","Night","Children","Comedy","Drama","Entertainment","Factual","Learning","Music","News","NoGenre","RelEthics","Sport","Weather","per_al_Watched","watched_in_Feb"
93,2213.68735,0.763440860215054,0.236559139784946,0.021505376344086,0,0.580645161290323,0.397849462365591,2.1505376344086,10.752688172043,22.5806451612903,5.37634408602151,17.2043010752688,0,0,25.8064516129032,0,0,1.0752688172043,15.0537634408602,50.5376344086022,"Yes"
1,4.19851666666667,0,1,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,"No"
36,782.751883333333,0.638888888888889,0.361111111111111,0,0.305555555555556,0.111111111111111,0.583333333333333,0,44.4444444444444,11.1111111111111,5.55555555555556,36.1111111111111,0,0,2.77777777777778,0,0,0,0,41.6666666666667,"No"
1,0.27025,1,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"Yes"
44,1140.87893333333,0.727272727272727,0.272727272727273,0.181818181818182,0.295454545454545,0.0681818181818182,0.454545454545455,0,13.6363636363636,6.81818181818182,18.1818181818182,54.5454545454545,0,2.27272727272727,4.54545454545455,0,0,0,0,43.1818181818182,"Yes"
2,58.5909333333333,1,0,0,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,50,"No"
6,148.87015,1,0,0.166666666666667,0,0.333333333333333,0.5,0,0,100,0,0,0,0,0,0,0,0,0,33.3333333333333,"Yes"
1,0.0834,0,1,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"No"
15,292.299633333333,0.333333333333333,0.666666666666667,0.2,0.0666666666666667,0.6,0.133333333333333,0,53.3333333333333,20,13.3333333333333,13.3333333333333,0,0,0,0,0,0,0,33.3333333333333,"No"
54,1196.79895,0.777777777777778,0.222222222222222,0.166666666666667,0.203703703703704,0.62962962962963,0,0,0,57.4074074074074,9.25925925925926,24.0740740740741,0,3.7037037037037,3.7037037037037,0,0,0,1.85185185185185,42.5925925925926,"Yes"
4,14.0159333333333,1,0,0.5,0.5,0,0,0,0,0,0,75,0,0,25,0,0,0,0,100,"No"
1,0.97075,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"No"
1,5.02671666666667,0,1,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"No"
1,0.12495,0,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,"Yes"
1,4.41535,1,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"No"
14,238.66425,1,0,0.142857142857143,0.142857142857143,0.714285714285714,0,0,0,0,0,14.2857142857143,0,0,85.7142857142857,0,0,0,0,28.5714285714286,"Yes"
2,2.9165,0,1,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,100,"No"
1,1.64428333333333,0,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"No"
1,2.00593333333333,1,0,0,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"No"
35,1035.32721666667,1,0,0.0857142857142857,0.0857142857142857,0.771428571428571,0.0571428571428571,0,5.71428571428571,11.4285714285714,0,40,0,2.85714285714286,28.5714285714286,0,0,2.85714285714286,8.57142857142857,51.4285714285714,"Yes"
2,91.1687,0.5,0.5,0.5,0.5,0,0,0,0,0,50,0,0,0,0,0,0,50,0,50,"Yes"
2,100.242483333333,0,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,100,"Yes"
1,0.105033333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,"No"
20,363.238033333333,0.75,0.25,0.1,0.05,0.85,0,0,10,60,5,20,0,0,5,0,0,0,0,20,"Yes"
1,5.55,1,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,"No"
1,11.57735,0,1,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"No"
3,80.8446166666667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,33.3333333333333,"Yes"
1,11.5684166666667,1,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,"Yes"
2,1.77616666666667,1,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"Yes"
14,326.341466666667,0.857142857142857,0.142857142857143,0,0.714285714285714,0.285714285714286,0,0,0,28.5714285714286,50,21.4285714285714,0,0,0,0,0,0,0,21.4285714285714,"Yes"
3,28.79615,1,0,0,0.333333333333333,0.666666666666667,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,"Yes"
6,143.853783333333,0.333333333333333,0.666666666666667,0.166666666666667,0.5,0.333333333333333,0,0,16.6666666666667,16.6666666666667,50,0,0,16.6666666666667,0,0,0,0,0,50,"Yes"
5,64.7092666666667,0.8,0.2,0.2,0,0.8,0,100,0,0,0,0,0,0,0,0,0,0,0,20,"Yes"
3,111.454416666667,1,0,0,0,0.333333333333333,0.666666666666667,0,0,66.6666666666667,0,0,0,0,0,0,0,33.3333333333333,0,33.3333333333333,"Yes"
5,121.845083333333,1,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,40,"Yes"
1,25.2904666666667,1,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,"Yes"
8,64.6188666666667,1,0,0.75,0.25,0,0,0,0,50,0,37.5,0,0,0,0,0,12.5,0,12.5,"No"
